x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 1. 0. 3. 27. 0. 4.425 52 21 48
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.462 18 18 18
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.514 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.557 55 43 55
1 3 6 0. 0. 0. 1. 0. 3. 38. 0. 4.366 69 38 63
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.366 21 21 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 19 19 15
1 3 6 0. 0. 0. 1. 1. 3. 13. 13. 4.501 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.481 41 37 37
1 3 6 0. 0. 0. 1. 1. 3. 48. 16. 4.683 74 36 72
1 3 6 1. 1. 1. 1. 1. 3. 25. 10. 4.541 66 25 66
1 3 6 1. 1. 1. 1. 1. 3. 13. 13. 4.481 20 20 18
1 3 6 0. 0. 0. 1. 0. 3. 27. 0. 4.409 52 21 48
