x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.498 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.363 20 20 18
1 3 6 1. 1. 1. 2. 2. 3. 13.5 7.5 4.419 34 29 30
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.419 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.504 19 19 15
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.57 0 0 0
1 3 6 0.405 0.405 0.405 0. 0. 3. 0. 0. 4.726 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.415 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.557 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.58 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.653 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.488 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.392 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.613 21 21 21
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.422 17 17 15
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.564 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.547 21 21 21
1 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.683 31 31 31
1 3 6 1. 1. 1. 2. 2. 3. 15. 7.5 4.481 75 25 75
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.438 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.498 0 0 0
1 3 6 2. 2. 2. 0. 0. 3. 0. 0. 4.422 19 19 15
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.412 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.422 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.372 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.488 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.564 0 0 0
1 3 6 1. 0.5 1. 2. 1.25 3. 34.5 23.666 4.564 74 34 72
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.547 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.501 21 21 21
1 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.448 31 31 31
1 3 6 0.514 0.514 0.514 0. 0. 3. 0. 0. 4.488 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.303 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.422 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.511 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.405 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 14.5 9.5 4.399 40 29 36
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.425 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.462 18 18 18
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.514 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.557 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.366 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.366 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 19 19 15
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.501 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.481 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.683 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 15. 7.5 4.541 66 25 66
1 3 6 1. 1. 1. 1. 1. 3. 13. 13. 4.481 20 20 18
